Tamano,Num. Vectores,Umbral insercion,Tiempo medio (ns),Num medio comparaciones,Num medio asignaciones
10,1000,0,22618,39,52
10,1000,2,15267,32,45
10,1000,4,15024,29,41
10,1000,6,8852,26,40
10,1000,8,10158,25,39
10,1000,10,11854,26,39
10,1000,12,12972,25,39
10,1000,14,15145,26,39
10,1000,16,11636,26,39
10,1000,18,10700,26,40
10,1000,20,11719,26,39
10,1000,22,12314,25,39
10,1000,24,10037,25,39
10,1000,26,11234,26,39
100,1000,0,61372,792,791
100,1000,2,49638,732,721
100,1000,4,43159,693,685
100,1000,6,39002,667,667
100,1000,8,43554,653,660
100,1000,10,41890,644,659
100,1000,12,49607,639,661
100,1000,14,38000,640,669
100,1000,16,38126,645,677
100,1000,18,37117,650,688
100,1000,20,37161,659,701
100,1000,22,39278,668,712
100,1000,24,37436,678,728
100,1000,26,34326,688,742
1000,1000,0,348838,11869,10303
1000,1000,2,303422,11269,9610
1000,1000,4,264828,10875,9249
1000,1000,6,253648,10610,9074
1000,1000,8,249504,10464,8998
1000,1000,10,237552,10393,8986
1000,1000,12,232479,10357,9018
1000,1000,14,242607,10396,9086
1000,1000,16,217964,10419,9179
1000,1000,18,218423,10453,9283
1000,1000,20,221350,10521,9405
1000,1000,22,213518,10622,9533
1000,1000,24,213999,10734,9677
1000,1000,26,212988,10861,9834
10000,1000,0,3084326,158382,126743
10000,1000,2,2680399,151978,119875
10000,1000,4,2426292,148287,116230
10000,1000,6,2410848,145755,114436
10000,1000,8,2171614,144379,113683
10000,1000,10,2241517,143393,113595
10000,1000,12,2068205,143015,113948
10000,1000,14,2011276,143282,114575
10000,1000,16,1979108,143558,115453
10000,1000,18,2072765,144034,116528
10000,1000,20,1935810,144740,117761
10000,1000,22,1838723,145669,119087
10000,1000,24,1976090,146818,120491
10000,1000,26,1884037,147946,122053
100000,1000,0,32885597,1978620,1504385
100000,1000,2,29880738,1917312,1435194
100000,1000,4,27462042,1876867,1399231
100000,1000,6,22435548,1851846,1381308
100000,1000,8,23467681,1838736,1373514
100000,1000,10,23312026,1828162,1372849
100000,1000,12,22308750,1827509,1375862
100000,1000,14,23195009,1827384,1382439
100000,1000,16,19647102,1829511,1391529
100000,1000,18,21479432,1835226,1402142
100000,1000,20,21573509,1843072,1414284
100000,1000,22,18837290,1851399,1427774
100000,1000,24,20695983,1862621,1442119
100000,1000,26,18226196,1871654,1457674
1000000,1000,0,328758683,23700238,17415392
1000000,1000,2,326089144,23106672,16721616
1000000,1000,4,298145228,22719010,16359372
1000000,1000,6,282032704,22474630,16180847
1000000,1000,8,263883156,22330972,16103598
1000000,1000,10,261217815,22253879,16094409
1000000,1000,12,259102094,22214804,16128496
1000000,1000,14,223606941,22215732,16193757
1000000,1000,16,223678796,22260910,16280881
1000000,1000,18,250026344,22295554,16390478
1000000,1000,20,237358924,22378652,16510495
1000000,1000,22,233473126,22477808,16643488
1000000,1000,24,221235610,22563763,16789929
1000000,1000,26,229148866,22691698,16938993
10000000,1000,0,3492616149,276433179,197858167
10000000,1000,2,3537108906,270630637,190887619
10000000,1000,4,2932923195,266442264,187310718
10000000,1000,6,2742269836,263971407,185527992
10000000,1000,8,2682685226,262754758,184733417
10000000,1000,10,2701127022,261696902,184665186
10000000,1000,12,2530084231,261438234,184986462
10000000,1000,14,2485473132,261567884,185628850
10000000,1000,16,2726657296,261972149,186497363
10000000,1000,18,2404147739,262577353,187575937
10000000,1000,20,2357466960,263479480,188766054
10000000,1000,22,2652949785,264111516,190135327
10000000,1000,24,2581825132,265296179,191555133
10000000,1000,26,2323823089,266427232,193071686
