Tamano,Num. Vectores,Umbral insercion,Tiempo medio (ms),Num medio comparaciones,Num medio asignaciones
10,1000,0,0,39,52
10,1000,2,0,33,45
10,1000,4,0,29,41
10,1000,6,0,26,40
10,1000,8,0,25,39
10,1000,10,0,25,39
10,1000,12,0,25,39
10,1000,14,0,25,39
10,1000,16,0,25,39
10,1000,18,0,25,39
10,1000,20,0,25,39
10,1000,22,0,26,39
10,1000,24,0,25,39
10,1000,26,0,26,39
100,1000,0,0,791,790
100,1000,2,0,731,720
100,1000,4,0,691,685
100,1000,6,0,666,666
100,1000,8,0,653,659
100,1000,10,0,645,659
100,1000,12,0,641,663
100,1000,14,0,641,668
100,1000,16,0,644,677
100,1000,18,0,649,686
100,1000,20,0,660,701
100,1000,22,0,667,713
100,1000,24,0,678,728
100,1000,26,0,689,744
1000,1000,0,0,11863,10306
1000,1000,2,0,11283,9611
1000,1000,4,0,10852,9255
1000,1000,6,0,10617,9074
1000,1000,8,0,10476,8997
1000,1000,10,0,10402,8990
1000,1000,12,0,10364,9020
1000,1000,14,0,10370,9086
1000,1000,16,0,10395,9175
1000,1000,18,0,10463,9276
1000,1000,20,0,10536,9395
1000,1000,22,0,10637,9533
1000,1000,24,0,10715,9681
1000,1000,26,0,10830,9838
10000,1000,0,7,158148,126800
10000,1000,2,6,152286,119831
10000,1000,4,5,148234,116229
10000,1000,6,5,145673,114456
10000,1000,8,5,144382,113680
10000,1000,10,5,143451,113594
10000,1000,12,4,143060,113938
10000,1000,14,5,143265,114569
10000,1000,16,4,143586,115444
10000,1000,18,4,144338,116508
10000,1000,20,4,144848,117748
10000,1000,22,4,145673,119102
10000,1000,24,4,146556,120521
10000,1000,26,4,147781,122048
100000,1000,0,75,1977087,1504632
100000,1000,2,75,1916855,1435353
100000,1000,4,66,1876119,1399429
100000,1000,6,63,1851532,1381348
100000,1000,8,61,1836889,1373973
100000,1000,10,58,1829147,1372639
100000,1000,12,56,1827383,1375976
100000,1000,14,55,1827944,1382457
100000,1000,16,53,1832515,1391028
100000,1000,18,52,1835574,1402320
100000,1000,20,53,1844310,1414090
100000,1000,22,52,1853303,1427454
100000,1000,24,52,1864095,1441885
100000,1000,26,50,1871946,1457491
1000000,1000,0,884,23712897,17416214
1000000,1000,2,800,23091233,16724348
1000000,1000,4,738,22717246,16359432
1000000,1000,6,704,22468377,16181185
1000000,1000,8,674,22327245,16104879
1000000,1000,10,657,22247073,16094620
1000000,1000,12,576,22222301,16127600
1000000,1000,14,628,22232689,16190744
1000000,1000,16,621,22251522,16284076
1000000,1000,18,552,22312471,16388604
1000000,1000,20,599,22362581,16512743
1000000,1000,22,543,22449083,16647708
1000000,1000,24,589,22562151,16789629
1000000,1000,26,581,22690600,16939408
10000000,1000,0,8687,276648866,197833038
10000000,1000,2,9583,270554647,190909178
10000000,1000,4,8011,266859262,187257367
10000000,1000,6,6862,264285813,185478063
10000000,1000,8,6802,262566920,184771209
10000000,1000,10,6516,261804359,184647760
10000000,1000,12,6340,261475875,184986447
10000000,1000,14,6272,261641176,185626842
10000000,1000,16,6153,262014124,186500825
10000000,1000,18,6242,262562177,187574412
10000000,1000,20,6196,263450556,188772530
10000000,1000,22,6175,264355025,190112501
10000000,1000,24,5944,265278282,191563227
10000000,1000,26,6081,266320811,193083888
